"","Acrónimo","Título","Descripción","Año","Mes","Día","Ciudad","País","Tópicos"
"86","iATMS 2019","International Conference on Advances in Technology, Management and Sciences",""," 2019","Oct","30","Dubai","UAE","smart computing,sciences,management,technology,"
"87","CMWR 2020","Computational Methods in Water Resources 2020",""," 2020","Jun","21","Stanford","United States",""
"88","TC2020","Biennial Threshold Concepts Conference 2020",""," 2020","Jul","7","London","UK","educational development,academic development,higher education pedagogy,threshold concepts,"
"89","MobileCloud 2020","The 8th IEEE International Conference on Mobile Cloud Computing",""," 2020","Apr","13","Oxford","UK","network edge cloud,mec,mobile cloud,cloud computing,"
"90","ICLI2020","International Conference on Live Interfaces 2020",""," 2020","Mar","9","Trondheim","Norway","music and sound art,performance and performativity,artistic research,human computer interface,"
"91","AATSR19","Alternative Approaches to Scientific Realism",""," 2020","Apr","16","Munich","Germany","pluralism,perspectival realism,relativism,structural realism,"
"92","SPINE DRD 2019","5th SPINE doctoral research day",""," 2019","Nov","6","Basel","Switzerland","t3 completed study,t2 study in progress,t1 overview of phd,"
"93","LDMSCON2019","LDMS Users Group Conference",""," 2019","Oct","22","Orlando","United States","ldms,performance analysis,monitoring,"
"94","CyCon 2020","CyCon 2020: 12th International Conference on Cyber Conflict",""," 2020","May","26","Tallinn","Estonia","ict and critical infrastructure threats,legal aspects of cyber operations,ai and cognitive cyber security,cyber weapons and apt capabilities,"
"95","WiCyS 2020","Women in CyberSecurity Annual Conference",""," 2020","Mar","12","Aurora","United States",""
"96","SAUPEC/RobMech/PRASA 2020","SAUPEC/RobMech/PRASA 2020",""," 2020","Jan","29","Cape Town","South Africa",""
"97","ICCCIoT 2020","International Conference on Computer Communication and Internet of Things (ICCCIoT) 2020",""," 2020","Feb","3","Agartala","India","fundamental and applied sciences,electrical and electronic engineering,computer and information sciences,computer communication and iot,"
"98","SUSTAINABLE_COOKING 2020","Sustainable Cooking: Technology, Economics, Environment and Health","",NA,"-",NA,"New York","United States","environment and health,sustainable cooking,economics,technology,"
"99","SMART_RE 2020","Smart Renewable Energy and Power Grid Systems","",NA,"-",NA,"New York","United States","power grid systems,solar and wind energy,smart renewable energy systems,smart grid,"
"100","ITCSD2020","3rd International Conference on Innovative Technologies for Clean and Sustainable Development",""," 2020","Feb","19","Chandigarh","India","sustainable constructing,building materials and construction,materials science,civil engineering,"
"101","ICLCHS 2019","International Conference on Life, Chemical and Health Sciences",""," 2019","Oct","24","Bengaluru","India",""
"102","AES2019","1st International Conference on Advancement in Engineering Sciences 2019",""," 2019","Sep","28","Katra","India",""
"103","Non-Q-wh-clauses 2020","Non-Interrogative Subordinate Wh-Clauses",""," 2020","Feb","7","Cologne","Germany",""
"104","ICICEEE-2020","International Conference on Innovations in  Computer, Electrical and Electronics Engineering",""," 2020","Jan","2","Pandharpur","India","computer science and engineering,electronics & telecommunication engineering,electrical engineering,"
"105","ICSICME-2020","International Conference on Sustainable Innovations in Civil and Mechanical Engineering",""," 2020","Jan","2","Pandharpur","India","industrial engineering,composite,structural design,"
"106","ICSD 2020","8th International Conference on Sustainable Development",""," 2020","Sep","9","Rome","Italy","education,energy,economics,sustainable development,"
"107","iCoMET 2020","2020 3rd International Conference on Computing, Mathematics and Engineering Technologies",""," 2020","Jan","29","Sukkur","Pakistan","mathematics,engineering,computing,"
"108","ICMIR 2019","International Conference on Multidisciplinary Innovations and Research",""," 2019","Nov","23","Kuala Lumpur","Malaysia","design and arts,learning and education,"
"109","ICSMN-2020","International Conference on Smart Materials and Nanotechnology",""," 2020","Jan","2","Pandharpur","India","soft magnetic materials,optoelectronic materials,nanomaterials and nanotechnology,crystal growth and applications,"
"110","HLS1","Heritage Language Syntax",""," 2020","Mar","12","Utrecht","Netherlands","change in contact,diachronic syntax,heritage languages,syntax,"
"111","WACCI 2019","International Workshop on Adaptive, Compressive and Computational Imaging 2019","",NA,"-",NA,"Valparaiso","Chile","compressive sensing,3d imaging and computational displays,spectral imaging,computational imaging,"
"112","ACMC2019","The International Conference on Membrane Computing (Asian Branch)",""," 2019","Nov","14","Xiamen","China","related topics,implementation of membrane computing models,applications of membrane computing,theoretical aspects of membrane computing,"
"113","IWITQS2020","International Workshop on Using IT in the service of Quraan and Sunnah and their sciences",""," 2020","Jan","6","Khartoum","Sudan","knowledge management,information systems,computer sciences,information technology,"
"114","ICISP2020","9th International Conference on Image and Signal Processing",""," 2020","Jun","4","Marrakech","Morocco",""
"115","WAMCA2019","10th Workshop on Applications for Multi-Core Architectures",""," 2019","Oct","12","Campo Grande","Brazil","gpu,parallelism,multicore,hpc,"
"116","AMIA 2019 NLP Working Group Pre-Symposium","AMIA 2019 NLP Working Group Pre-Symposium:  Graduate Student Consortium, Community Challenges/Workshops, and System Demos",""," 2019","Nov","13","Washington","United States",""
"117","TCSET-2020","15th International Conference on Advanced Trends in Radioelectronics, Telecommunications and Computer Engineering",""," 2020","Feb","25","Lviv-Slavske","Ukraine","electronics,communication,computer engineering,internet of things,"
"118","SOMChE2020","32nd Symposium of Malaysian Chemical Engineers 2020",""," 2020","Apr","9","Kuching","Malaysia","materials science and engineering,bioprocessing and biotechnology,environmental and waste management,green and sustainable processing,"
"119","<U+0406><U+0415><U+0415><U+0415> ATIT 2019","2019 IEEE International Conference on Advanced Trends in Information Theory",""," 2019","Dec","17","Kyiv","Ukraine",""
"120","WiSPNET 2020","2020 International Conference on Wireless communications, signal processing and networking",""," 2020","Mar","19","Chennai","India","antennas communication and information theory,wsn and networking protocols,signal and image processing,assistive technology,"
"121","ANH2020","Adapt Northern Heritage Conference 2020",""," 2020","May","5","Edinburgh","UK","place adaptations,risk assessments,cultural heritage,climate change,"
"122","CLS 56","Chicago Linguistic Society",""," 2020","Apr","30","Chicago","United States","resumptivity,heritage language linguistics,speech acts,"
"123","MCSSA 2019","The Second Workshop on Mobile Crowdsensing Systems and Applications",""," 2019","Nov","4","Monterey","United States","security and privacy,data analytics,data management,mobile crowdsensing,"
"124","WISP2019","Workshop on Information Security and Privacy 2019",""," 2019","Dec","15","Munich","Germany","trust and freedom of expression,behavioral issues in information security,security and privacy,cybersecurity,"
"125","ICoAT'20","International Conference on Applied Science & Technology",""," 2020","Mar","21","Greater Noida","India","environment,science,technology,engineering,"
"126","V CCT 2019","V Congresso de Ciência e Tecnologia da UTFPR Dois Vizinhos",""," 2019","Oct","21","Dois Vizinhos","Brazil",""
"127","REAIS19","Rigorous Evaluation of AI Systems  (HCOMP 2019 Workshop)",""," 2019","Oct","28","Stevenson","United States","crowdsourcing,ai,metrics,evaluation,"
"128","EmeRTeS 2020","International Workshop on Emergency Response Technologies and Services 2020",""," 2020","Jan","7","Kolkata","India","crowd sourcing remote sensing,modeling and simulation tools,emergency communication infrastructures,peer to peer networks,"
"129","Book:DLforBMA 2020","Deep Learning for Biomedical Applications","",NA,"-",NA,"","","biomedical,deep learning,medical,artificial intelligence,"
"130","ISMB 17","17th International Symposium on Magnetic Bearings",""," 2020","Aug","18","Rio de Janeiro","Brazil","applications,maglev,levitation,magnetic bearings,"
"131","2020 SPPAC","2020 Society of Pediatric Psychology Annual Conference",""," 2020","Mar","19","Dallas","United States",""
"132","LTS19","NeurIPS 2019 Workshop on Learning Transferable Skills",""," 2019","Dec","13","Vancouver","Canada","deep learning,reinforcement learning,machine learning,artificial intelligence,"
"133","FLINS/ISKE 2020","The 14th International FLINS Conference on Robotics and Artificial Intelligence and the 15th International Conference on Intelligent Systems and Knowledge Engineering",""," 2020","Aug","18","Cologne","Germany","big data and cloud computing,fuzzy logic theories and applications,artificial intelligence and robotics,computational intelligence and its application,"
"134","ICIEM - 2020","International Conference on Intelligent Engineering and Management",""," 2020","Apr","21","London","UK","automation and computation engineering,management,"
"135","NCCI 2019","Third National Conference on Computational Intelligence",""," 2019","Dec","5","Bangalore","India","big data analytics,cloud computing,internet of things,artificial intelligence,"
